Movie Rate,index
9.7,1
9.6,2
9.5,3
9.5,4
9.4,5
9.4,6
9.5,7
9.4,8
9.4,9
9.4,10
9.5,11
9.4,12
9.3,13
9.2,14
9.3,15
9.3,16
9.2,17
9.3,18
9.6,19
9.2,20
9.4,21
9.3,22
9.3,23
9.2,24
9.1,25
9.3,26
9.2,27
9.1,28
9.3,29
9.2,30
9.2,31
9.3,32
9.0,33
9.3,34
9.1,35
9.3,36
9.1,37
9.4,38
9.0,39
9.1,40
9.0,41
9.1,42
9.2,43
9.3,44
9.3,45
9.1,46
9.3,47
9.0,48
9.2,49
9.1,50
9.2,51
8.9,52
9.4,53
9.1,54
9.1,55
9.1,56
9.2,57
9.3,58
9.1,59
9.2,60
9.2,61
9.0,62
9.0,63
9.1,64
9.2,65
9.2,66
8.9,67
9.1,68
8.9,69
9.1,70
8.8,71
9.0,72
8.8,73
9.1,74
9.1,75
9.2,76
8.8,77
8.9,78
8.9,79
8.9,80
8.9,81
9.0,82
8.9,83
8.9,84
9.0,85
8.9,86
9.3,87
9.3,88
9.0,89
8.8,90
9.2,91
8.9,92
8.9,93
8.9,94
9.1,95
8.8,96
8.8,97
9.1,98
9.1,99
8.7,100
8.9,101
8.9,102
8.9,103
8.9,104
8.8,105
8.8,106
8.8,107
8.9,108
8.9,109
8.7,110
8.8,111
8.7,112
8.9,113
8.9,114
8.9,115
8.8,116
8.9,117
8.9,118
8.7,119
9.1,120
8.8,121
9.1,122
8.8,123
8.8,124
8.7,125
9.0,126
9.1,127
8.8,128
8.9,129
8.8,130
8.8,131
8.9,132
8.8,133
9.0,134
9.0,135
8.9,136
8.9,137
8.7,138
9.6,139
8.9,140
8.8,141
8.6,142
8.7,143
8.7,144
8.8,145
9.2,146
8.7,147
9.0,148
9.0,149
8.8,150
8.8,151
8.6,152
8.8,153
8.8,154
8.7,155
9.0,156
9.3,157
8.7,158
8.8,159
9.0,160
8.7,161
8.8,162
8.5,163
8.7,164
8.7,165
8.8,166
8.8,167
8.7,168
8.8,169
8.7,170
8.6,171
9.0,172
8.9,173
8.9,174
8.9,175
8.8,176
8.8,177
8.7,178
8.9,179
9.5,180
8.6,181
8.7,182
8.9,183
9.1,184
8.7,185
8.7,186
8.7,187
8.7,188
9.2,189
8.8,190
8.6,191
8.7,192
8.5,193
8.9,194
9.0,195
8.7,196
8.7,197
8.6,198
8.7,199
8.6,200
8.9,201
8.9,202
9.3,203
8.6,204
8.5,205
8.9,206
8.6,207
8.5,208
8.6,209
8.7,210
8.6,211
8.5,212
8.4,213
8.7,214
8.7,215
8.8,216
8.5,217
8.9,218
9.3,219
8.7,220
8.8,221
8.7,222
8.6,223
8.6,224
8.8,225
8.6,226
8.5,227
8.7,228
8.6,229
8.7,230
9.5,231
8.6,232
8.7,233
8.5,234
8.7,235
8.7,236
8.8,237
8.8,238
8.8,239
8.5,240
8.8,241
8.7,242
8.8,243
8.6,244
8.7,245
8.6,246
8.5,247
8.6,248
8.6,249
8.7,250
